Client,Lobbyist,Lobbyist_Firm,Client_Phone,Client_Address,Client_Address_2,Client_City,Client_State,Client_Zip,Client_Location
Tookoian/susan And William,"Silverman, David","Reuben, Junius & Rose, Llp",559-284-7774,4883 N. Van Ness Blvd.,,Fresno,CA,93704,
Charles And Lucienne Dilworth,"Angelis, Chloe","Reuben, Junius & Rose, Llp",4155679000,15 George Lane,,Sausalito,CA,94965,
Fish Six Rc - The Melt,"Loper, Mark","Reuben, Junius & Rose, Llp",415-716-6789,58 Tehama St.,,San Francisco,CA,94105,
Greenwich Realty Company,"Angelis, Chloe","Reuben, Junius & Rose, Llp",415-806-8252,60 Mayhew Way,,Walnut Creek,CA,94597,
Pancha/fiona And Girish,"Kevlin, John","Reuben, Junius & Rose, Llp",650-444-5174,809 Francisco St.,,San Francisco,CA,94109,
Tishman Speyer,"Owen, David",Platinum Advisors,415-536-1850,"ONE BUSH STREET, #450",,SAN FRANCISCO,CA,94104,
Emerson Process Management,"Piccini, Jacqueline",Platinum Advisors,412-963-4000,200 BETA DRIVE,,PITTSBURGH,PA,15238,
Chsra Subhntb,"Lapointe, Denise",Lapointe And Associates,415-645-0150,100 Spear Street,,San Francisco,CA,94105,
Auto Return,"Kirk, Laura",Platinum Advisors,415-865-8200,450 - 7TH STREET,,SAN FRANCISCO,CA,94103,
George Mcnabb,"Tunny, Thomas","Reuben, Junius & Rose, Llp",4155679000,70 Estelle Ave.,,Kentfield,CA,94904,
David Dewilde,"Knight, Jody","Reuben, Junius & Rose, Llp",4155679000,2650 Green Street,,San Francisco,CA,94123,
Lick-Wilmerding High School,"Clemens, Alexander",Lighthouse Public Affairs,(415) 333-4021,755 OCEAN AVENUE,,SAN FRANCISCO,CA,94112,
Hdr,"Gruwell, Chris",Platinum Advisors,415-546-4200,"560 MISSION STREET, SUITE 900",,SAN FRANCISCO,CA,94105,
Rrt Partners Llc,"Bell, Veronica","Goodyear Peterson Hayward & Associates, Llc",(415) 332-9242,14 SUNSHINE AVENUE,,SAUSALITO,CA,94965,
Related California Urban Housing,"Vettel, Steve",Farella Braun And Martel,949-660-7272,18201 Van Karman Ave,,Irvine,CA,92612,
Fireforceone,"Grijalva, Ruben",Firechiefs.com,916-799-5363,8866 Saint Anthony Court,,Elk Grove,CA,95624,
Baybio,"Isbell, Reese",Clsa,650-871-3267,250 E. Grand Avenue,,South San Francisco,CA,94080,
"Hudson Pacific Properties, Inc.","Hayward, Boe","Goodyear Peterson Hayward & Associates, Llc",(415) 777-4100,"101 SPEAR STREET, SUITE 200",,SAN FRANCISCO,CA,94105,
3636 21st Street,"Peterson, Rich H.",Lighthouse Public Affairs,(415) 364-0000,3636 21ST STREET,,SAN FRANCISCO,CA,94114,
Bre Market Street Property Owner Llc,"Loper, Mark","Reuben, Junius & Rose, Llp",818-703-2285,"3200 Oceanpark Blvd., Ste. 100",,Santa Monica,CA,90405,
California Pacific Medical Center,"Edgette, Frieda",Barbary Coast Consulting,415-600-6000,P.O. Box 7999,,San Francisco,CA,94120,
Bay West Development,"Smith, Kimberly",Kls Consulting,415.602.8128,2 Henry Adams Street,,San Francisco,CA,94103,
2435-2445 16th Street,"Hayward, A. Boe",Lighthouse Public Affairs,(415) 364-0000,2435-2445 16TH STREET,,SAN FRANCISCO,CA,94103,
Pma Consultants,"Gruwell, Chris",Platinum Advisors,415-277-5453,"50 CALIFORNIA STREET, SUITE 1500",,SAN FRANCISCO,CA,94111,
Maximus Realty Partners,"New, Janan",San Francisco Apt Assoc,(415) 584-4149,3711 19th Avenue,,San Francisco,CA,94132,
Facebook,"Guehring, Ross E.",Lighthouse Public Affairs,(650) 543-4800,1 HACKER WAY,,MENLO PARK,CA,94025,
Starbucks Coffee,"Crowley, Colleen","Gca Strategies, Inc.",(415) 241-0256,455 Northpoint,,San Francisco,CA,94133,
Board Of Directors Of San Francisco Zoological Society,"Crowley, Coleen",Platinum Advisors,415-576-2302,1 ZOO ROAD,,SAN FRANCISCO,CA,94132,
Envista,"Gruwell, Chris",Platinum Advisors,887-684-7700,"11711 N. MERIDIAN STREET, SUITE 415",,CARMEL,IN,46032,
Mindful Investments Lp,"Angelis, Chloe","Reuben, Junius & Rose, Llp",415-371-8333,827 De Haro St.,,San Francisco,CA,94107,
Panoramic Interests,"Sarjapur, Melinda A.","Reuben, Junius & Rose, Llp",5108831000,2116 Allston Way,,Berkeley,CA,94704,
One Sansome Street Property,"Guehring, Ross E.",Lighthouse Public Affairs,(415) 364-0000,"ONE SANSOME STREET, SUITE 205",,SAN FRANCISCO,CA,94104,
Aecom,"Piccini, Jacqueline",Platinum Advisors,415-522-5000,"1390 MARKET STREET, SUITE 1100",,SAN FRANCISCO,CA,94102,
Golden Gate Yacht Club,"Young, Marcus",Young And Associates,415-346-2628,1 Yacht Road,,San Francisco,CA,94123,
Walgreen Co.,"Kurrie, Jennifer",Walgreen Co.,8473156829,104 Wilmot Road,,Deerfield,IL,60015,
"Civitas Equity Fund 1, Llc","Reuben, James","Reuben, Junius & Rose, Llp",925-251-7200,5865 Owens Drive,,Pleasanton,CA,94588,
San Francisco Overlook Development Llc,"Berg, Jessica",Bergdavis Public Affairs,415-878-3740,8 Copper Hill Way,,Novato,CA,94947,
"Umv, Llc","Junius, Andrew","Reuben, Junius & Rose, Llp",4155679000,2174 Market Street,,San Francisco,CA,94114,
Stalder/john,"Kevlin, John","Reuben, Junius & Rose, Llp",415-765-7023,"1840 Jefferson St., Apt. 302",,San Francisco,CA,94123,
Harty/kiernan,"Angelis, Chloe","Reuben, Junius & Rose, Llp",4155679000,1254 41st Ave.,,San Francisco,CA,94122,
One Vassar Llc,"Catalano, Tuija","Reuben, Junius & Rose, Llp",415-982-1218 x 226,"433 California St., 7th Fl",,San Francisco,CA,94104,
Kaiser Permanente,"Guehring, Ross",Barbary Coast Consulting,415.674.7140,"601 Van Ness Ave., Ste #2002",,San Francisco,CA,94102,
Riverglade Capital,"Brooks, Alex","Csp Securities, Lp",847-571-3212,444 West Lake Street,,Chicago,IL,60606,
Canyon Market,"Dorsey, Matt",Lighthouse Public Affairs,(415) 586-9999,2815 DIAMOND STREET,,SAN FRANCISCO,CA,94131,
Canyon Market,"Clemens, Alexander",Lighthouse Public Affairs,(415) 586-9999,2815 DIAMOND STREET,,SAN FRANCISCO,CA,94131,
Blue Bottle Coffee,"Noyola, David G.",Noyola Piccini Group,510-653-3394,300 WEBSTER STREET,,OAKLAND,CA,94607,
Chariot Transit Inc.,"Carson, James W.",Nielsen Merksamer Parrinello Gross & Leoni Llp,4153896800,95 Minna Street #2,,San Francisco,CA,94105,
Park Sfo,"Emblidge, G. Scott",Moscone Emblidge Sater & Otis,6502463860,195 N. Access Road,,South San Francisco,CA,94080,
"Anheuser-Busch Companies, Llc","Lang, Davi",New Deal Advisers,(314) 765-5502,ONE BUSCH PLACE,,ST. LOUIS,MO,63118,
Canyon Market,"Moriarity, Anne",Lighthouse Public Affairs,(415) 586-9999,2815 DIAMOND STREET,,SAN FRANCISCO,CA,94131,
Lava Mae,"Lang, Davi",New Deal Advisers,4156334395,3543 18TH STREET #24,,SAN FRANCISCO,CA,94110,
Canyon Market,"Bell, Veronica N.",Lighthouse Public Affairs,(415) 586-9999,2815 DIAMOND STREET,,SAN FRANCISCO,CA,94131,
5978 Mission Street,"Davis, Evette",Bergdavis Public Affairs,330.770.0366,5978 Mission Street,,San Francisco,CA,94112,
Teamsters Local #2785,"Lang, Davi",New Deal Advisers,4154670450,"FIVE THOMAS MELLON CIRCLE, SUITE 130",,SAN FRANCISCO,CA,94105,
Teamsters Local #665,"Lang, Davi",New Deal Advisers,4157327700,"1500 FRANKLIN STREET, 3RD FLOOR",,SAN FRANCISCO,CA,94109,
Teamsters Local #2785,"Gruwell, Chris S.",New Deal Advisers,4154670450,"FIVE THOMAS MELLON CIRCLE, SUITE 130",,SAN FRANCISCO,CA,94105,
Blue Bottle,"Piccini, Jacqueline",Noyola Piccini Group,510-653-3394,300 WEBSTER STREET,,OAKLAND,CA,94607,
"Cambridge Cm, Inc.","Gruwell, Chris S.",New Deal Advisers,9259975726,"130 SUTTER STREET, SUITE 500",,SAN FRANCISCO,CA,94104,
"Anheuser-Busch Companies, Llc","Gruwell, Chris S.",New Deal Advisers,3147655502,ONE BUSCH PLACE,,ST. LOUIS,MO,63118,
Another Planet Entertainment,"Noyola, David G.",Noyola Piccini Group,510-548-3010,"1815 4TH STREET, SUITE C",,BERKELEY,CA,94710,
"Ariel Investments, Llc","Rozier, Gary","Ariel Investments, Llc",(312) 612-2763,200 E Randolph Street,,Chicago,IL,60601,
Five Point Holdings,"Lapointe, Denise",Lapointe And Associates,415-995-1770,"One Sansome Street, Suite 3200",,San Francisco,CA,94104,
Sf Prosperity 2 Llc,"Ho, David",Long Ying International,510-415-2888,290 Division St.,,San Francisco,CA,94103,
Gap Inc.,"Sirha, Belinda",Gap Inc.,4154270774,2 Folsom Street,,San Francisco,CA,94105,
Lava Mae,"Gruwell, Chris S.",New Deal Advisers,(415) 633-4395,3543 18TH STREET #24,,SAN FRANCISCO,CA,94110,
996 Mission Street Llc,"Gladstone, Brett",Hanson Bridgett Llp,415-921-8900,402 8th Ave #207,,San Francisco,CA,94118,
Canyon Market,"Peterson, Rich H.",Lighthouse Public Affairs,(415) 586-9999,2815 DIAMOND STREET,,SAN FRANCISCO,CA,94131,
Thumbtack,"Piccini, Jacqueline",Noyola Piccini Group,866-501-5809,350 9TH STREET,,SAN FRANCISCO,CA,94103,
Another Planet Entertainment,"Piccini, Jacqueline",Noyola Piccini Group,510-548-3010,"1815 4TH STREET, SUITE C",,BERKELEY,CA,94710,
"Treasure Island, Llc","Lapointe, Denise",Lapointe And Associates,4159951770,"One Sansome Street, Suite 3200",,San Francisco,CA,94104,
Beatrice And Paul Gomory,"Kelly, Susanne",Hanson Bridgett Llp,415-282-3380,1231 Douglas St.,,San Francisco,CA,94131,
Realty West Sf,"Ho, David",Long Ying International,415-440-0201,2170 Sutter Street,,San Francisco,CA,94115,
Sfmap,"Emblidge, G. Scott",Moscone Emblidge Sater & Otis,4153623599,654 Sacramento Street,,San Francisco,CA,94111,
Canyon Market,"Jordan, K. Taylor",Lighthouse Public Affairs,(415) 586-9999,2815 DIAMOND STREET,,SAN FRANCISCO,CA,94131,
Thumbtack,"Noyola, David G.",Noyola Piccini Group,866-501-5809,350 9TH STREET,,SAN FRANCISCO,CA,94103,
Canyon Market,"Guehring, Ross E.",Lighthouse Public Affairs,(415) 586-9999,2815 DIAMOND STREET,,SAN FRANCISCO,CA,94131,
Canyon Market,"Hayward, A. Boe",Lighthouse Public Affairs,(415) 586-9999,2815 DIAMOND STREET,,SAN FRANCISCO,CA,94131,
King Street Capital Management Lp,"Saroken, Harlan",King Street Capital Management Lp,212-812-3100,65 E 55th Street,,New York,NY,10022,
Dune Real Estate Partners Lp,"Swanezy, Susan",Hodes Weill & Associates,(212) 301-8450,640 5th Avenue,,New York,NY,10019,
Canyon Market,"Overman, Jason",Lighthouse Public Affairs,(415) 586-9999,2815 DIAMOND STREET,,SAN FRANCISCO,CA,94131,
"Cambridge Cm, Inc.","Lang, Davi",New Deal Advisers,925-997-5726,"130 SUTTER STREET, SUITE 500",,SAN FRANCISCO,CA,94104,
5978 Mission Street,"Hoover, Jeff",Bergdavis Public Affairs,330.770.0366,5978 Mission Street,,San Francisco,CA,94112,
Tobacco-Free Kids Action Fund,"Tegen, Anne",Tobacco-Free Kids Action Fund,202 296-5469,"1400 I Street, NW, Suite 1200",,Washington,DC,20005,
Dm Development,"Berg, Jessica",Bergdavis Public Affairs,415-692-5060,2301 Lombard Street,,San Francisco,CA,94123,
Starbucks,"Hoover, Jeff",Bergdavis Public Affairs,(415) 921-4049,1899 Union Street,,San Francisco,CA,94123,
Starbucks,"Davis, Evette",Bergdavis Public Affairs,4159214049,1899 Union Street,,San Francisco,CA,94123,
Warburg Pincus Llc,"Gunther, Christopher",Warburg Pincus Llc,(212)878-0600,450 Lexington Avenue,,New York,NY,10017,
"Starship Technologies, Inc.","Dorsey, Matt",Lighthouse Public Affairs,(415) 364-0000,TEADUSPARGI 8,,"12618 TALLINN, ESTONIA",CA,12618,
Crescent Heights,"Noyola, David G.",Noyola Piccini Group,4159862477,450 SANSOME STREET,,SAN FRANCISCO,CA,94111,
Bmw Of San Francisco,"Kevlin, John","Reuben, Junius & Rose, Llp",415-291-8641,1675 Howard St.,,San Francisco,CA,94103,
1948 Pacific Avenue,"Clemens, Alexander",Lighthouse Public Affairs,(415) 516-5163,1948 PACIFIC AVENUE,,SAN FRANCISCO,CA,94109,
Kcg Sf Hotel,"Gruwell, Chris S.",New Deal Advisers,3019611976,"3 BETHESDA METRO CENTER, SUITE 700",,BETHESDA,MD,20814,
1948 Pacific Avenue,"Hayward, A. Boe",Lighthouse Public Affairs,(415) 516-5163,1948 PACIFIC AVENUE,,SAN FRANCISCO,CA,94109,
J Street - Svwc Building,"Dorsey, Matt",Lighthouse Public Affairs,(619) 376-1850,321 7TH AVENUE,,SAN DIEGO,CA,92101,
Bently Holding Ca Lp,"Kelly, Susanne",Hanson Bridgett Llp,415-288-0202,240 Stockton St.,,San Francisco,CA,94108,
J Street - Svwc Building,"Overman, Jason",Lighthouse Public Affairs,(619) 376-1850,321 7TH AVENUE,,SAN DIEGO,CA,92101,
J Street - Svwc Building,"Bell, Veronica N.",Lighthouse Public Affairs,(619) 376-1850,321 7TH AVENUE,,SAN DIEGO,CA,92101,
"Starship Technologies, Inc.","Clemens, Alexander",Lighthouse Public Affairs,(415) 364-0000,TEADUSPARGI 8,,"12618 TALLINN, ESTONIA",CA,12618,
J Street - Svwc Building,"Jordan, K. Taylor",Lighthouse Public Affairs,(619) 376-1850,321 7TH AVENUE,,SAN DIEGO,CA,92101,
1948 Pacific Avenue,"Guehring, Ross E.",Lighthouse Public Affairs,(415) 516-5163,1948 PACIFIC AVENUE,,SAN FRANCISCO,CA,94109,
"Starship Technologies, Inc.","Bell, Veronica N.",Lighthouse Public Affairs,(415) 364-0000,TEADUSPARGI 8,,"12618 TALLINN, ESTONIA",CA,12618,
Babcoke/jason,"Visick, Matthew","Reuben, Junius & Rose, Llp",4155679000,1132 Sanchez St,,San Francisco,CA,94114,
J Street - 1196 Hotel Llc,"Hayward, A. Boe",Lighthouse Public Affairs,(619) 376-1850,321 7TH AVENUE,,SAN DIEGO,CA,92101,
Kcg Sf Hotel,"Lang, Davi",New Deal Advisers,(301) 961-1976,"3 BETHESDA METRO CENTER, SUITE 700",,BETHESDA,MD,20814,
J Street - 1196 Hotel Llc,"Bell, Veronica N.",Lighthouse Public Affairs,(619) 376-1850,321 7TH AVENUE,,SAN DIEGO,CA,92101,
Brian Kendall,"Knight, Jody","Reuben, Junius & Rose, Llp",4153530770,447 Waller Street,,San Francisco,CA,94117,
Royal Towers Apartment Corporation,"Noyola, David G.",Noyola Piccini Group,4157711750,1750 TAYLOR STREET,,SAN FRANCISCO,CA,94133,
"Vf Outdoor, Llc - The North Face","Moriarity, Anne",Lighthouse Public Affairs,(510) 748-2590,2701 HARBOR BAY PARKWAY,,ALAMEDA,CA,94502,
"Sustainable Living, Llc","Loper, Mark","Reuben, Junius & Rose, Llp",4155679000,1592 Union Street,,San Francisco,CA,94123,
Gatti/stanlee,"Reuben, James","Reuben, Junius & Rose, Llp",4155588884,1208 Howard St,,San Francisco,CA,94103,
J Street - Svwc Building,"Moriarity, Anne",Lighthouse Public Affairs,(619) 376-1850,321 7TH AVENUE,,SAN DIEGO,CA,92101,
"Enterprise Holdings, Inc.","Rothery, Brian","Enterprise Holdings, Inc.",415-389-6800,150 North Sunrise Avenue,,Roseville,CA,95661,
"Vf Outdoor, Llc - The North Face","Dorsey, Matt",Lighthouse Public Affairs,(510) 748-2590,2701 HARBOR BAY PARKWAY,,ALAMEDA,CA,94502,
1401 Howard Street Llc,"Lang, Davi",New Deal Advisers,415.285.1164,310 7TH STREET,,SAN FRANCISCO,CA,94103,
Les Natali,"Angelis, Chloe","Reuben, Junius & Rose, Llp",4156265017,4121 18th Street,,San Francisco,CA,94114,
"Ferry Building Associates, Llc; Ferry Building Investors, Llc","Gruwell, Chris",Platinum Advisors,650-372-3556,"2655 CAMPUS DRIVE, #100",,SAN MATEO,CA,94403,
Crescent Heights,"Piccini, Jacqueline",Noyola Piccini Group,4159862477,450 SANSOME STREET,,SAN FRANCISCO,CA,94111,
1948 Pacific Avenue,"Moriarity, Anne",Lighthouse Public Affairs,(415) 516-5163,1948 PACIFIC AVENUE,,SAN FRANCISCO,CA,94109,
"Rainbow 2603, Llc","Angelis, Chloe","Reuben, Junius & Rose, Llp",925-370-6079,"1650 Borel Place, Suite 222",,San Mateo,CA,94402,
Bay West Development,"Noyola, David",Platinum Advisors,415-602-8128,"2 HENRY ADAMS STREET, #450",,SAN FRANCISCO,CA,94103,
J Street - Svwc Building,"Hayward, A. Boe",Lighthouse Public Affairs,(619) 376-1850,321 7TH AVENUE,,SAN DIEGO,CA,92101,
300 Company/the,"Junius, Andrew","Reuben, Junius & Rose, Llp",805-418-3115,"2801 Townsgate Rd Ste., 200",,Westlake Village,CA,91361,
"Sky Equity, Llc","Kevlin, John","Reuben, Junius & Rose, Llp",415-602-0570,215 W. Portal,,San Francisco,CA,94127,
Glu Mobile,"Loper, Mark","Reuben, Junius & Rose, Llp",415-800-6100,"500 Howard St., Ste 300",,San Francisco,CA,94105,
J Street - 1196 Hotel Llc,"Overman, Jason",Lighthouse Public Affairs,(619) 376-1850,321 7TH AVENUE,,SAN DIEGO,CA,92101,
"Vf Outdoor, Llc - The North Face","Guehring, Ross E.",Lighthouse Public Affairs,(510) 748-2590,2701 HARBOR BAY PARKWAY,,ALAMEDA,CA,94502,
Hines,"Owen, David",Platinum Advisors,415-512-5600,"560 MISSION STREET, #100",,SAN FRANCISCO,CA,94105,
Kawaja Family Trust,"Sarjapur, Melinda A.","Reuben, Junius & Rose, Llp",415-407-7171,2517 Pacific Ave,,San Francisco,CA,94115,
Murphy/margarita,"Visick, Matthew","Reuben, Junius & Rose, Llp",4155679000,1254 41st Ave.,,San Francisco,CA,94122,
"Starship Technologies, Inc.","Hayward, A. Boe",Lighthouse Public Affairs,(415) 364-0000,TEADUSPARGI 8,,"12618 TALLINN, ESTONIA",CA,12618,
J Street - Svwc Building,"Clemens, Alexander",Lighthouse Public Affairs,(619) 376-1850,321 7TH AVENUE,,SAN DIEGO,CA,92101,
Hal Leininger,"Knight, Jody","Reuben, Junius & Rose, Llp",415-441-0911,55 Anzavista Avenue,,San Francisco,CA,94115,
"Carey Watermark Investors 2, Inc","Loper, Mark","Reuben, Junius & Rose, Llp",847-558-7957,"272 E. Deerpath Rd., Ste. 320",,Lake Forest,IL,60045,
"Sustainable Living, Llc","Angelis, Chloe","Reuben, Junius & Rose, Llp",415-567-9000,1592 Union Street,,San Francisco,CA,94123,
"Oberndorf Enterprises, Llc","Loper, Mark","Reuben, Junius & Rose, Llp",4155006900,615 Front Street,,San Francisco,CA,94111,
Royal Towers Apartment Corporation,"Piccini, Jacqueline",Noyola Piccini Group,4157711750,1750 TAYLOR STREET,,SAN FRANCISCO,CA,94133,
Verizon,"Tourk, Alex",Ground Floor Public Affairs,415-228-1100,"201 Spear Street, 7th floor",,San Francisco,CA,94105,
"262 7th St, Llc","Kevlin, John","Reuben, Junius & Rose, Llp",(415) 558-8244,168 Welsh Street,,San Francisco,CA,94107,
1948 Pacific Avenue,"Dorsey, Matt",Lighthouse Public Affairs,(415) 516-5163,1948 PACIFIC AVENUE,,SAN FRANCISCO,CA,94109,
"Ray Ramillosa, Meredith Brown, Maria Crisostomo, Tim Dunn (Trustees)","Donner, Michael",Hanson Bridgett Llp,4159955025,21 Buckeye Ave.,,Oakland,CA,94618,
1401 Howard Street Llc,"Gruwell, Chris S.",New Deal Advisers,4152851164,310 7TH STREET,,SAN FRANCISCO,CA,94103,
"David Scott Nale, Trustee","Kelly, Susanne",Hanson Bridgett Llp,4153653496,126 Fillmore Street,,San Francisco,CA,94117,
Gatti/stanlee,"Visick, Matthew","Reuben, Junius & Rose, Llp",415-558-8884,1208 Howard St,,San Francisco,CA,94103,
Agpme Comm Stores,"Reuben, James","Reuben, Junius & Rose, Llp",415-567-9000,440 Geary St,,San Francisco,CA,94102,
J Street - 1196 Hotel Llc,"Guehring, Ross E.",Lighthouse Public Affairs,(619) 376-1850,321 7TH AVENUE,,SAN DIEGO,CA,92101,
"Starship Technologies, Inc.","Jordan, K. Taylor",Lighthouse Public Affairs,(415) 364-0000,TEADUSPARGI 8,,"12618 TALLINN, ESTONIA",CA,12618,
J Street - 1196 Hotel Llc,"Clemens, Alexander",Lighthouse Public Affairs,(619) 376-1850,321 7TH AVENUE,,SAN DIEGO,CA,92101,
"Starship Technologies, Inc.","Moriarity, Anne",Lighthouse Public Affairs,(415) 364-0000,TEADUSPARGI 8,,"12618 TALLINN, ESTONIA",CA,12618,
J Street - Svwc Building,"Guehring, Ross E.",Lighthouse Public Affairs,(619) 376-1850,321 7TH AVENUE,,SAN DIEGO,CA,92101,
J Street - 1196 Hotel Llc,"Jordan, K. Taylor",Lighthouse Public Affairs,(619) 376-1850,321 7TH AVENUE,,SAN DIEGO,CA,92101,
"Martin C. Levin Investment Co., Llc","Silverman, David","Reuben, Junius & Rose, Llp",415-397-0373,PO Box 29129,,San Francisco,CA,94129,
"Vf Outdoor, Llc - The North Face","Bell, Veronica N.",Lighthouse Public Affairs,(510) 748-2590,2701 HARBOR BAY PARKWAY,,ALAMEDA,CA,94502,
Barbary Coast Collective San Francisco,"Lang, Davi",New Deal Advisers,(415) 793-0831,952 MISSION STREET,,SAN FRANCISCO,CA,94103,
"Vf Outdoor, Llc - The North Face","Clemens, Alexander",Lighthouse Public Affairs,(510) 748-2590,2701 HARBOR BAY PARKWAY,,ALAMEDA,CA,94502,
"Vf Outdoor, Llc - The North Face","Overman, Jason",Lighthouse Public Affairs,(510) 748-2590,2701 HARBOR BAY PARKWAY,,ALAMEDA,CA,94502,
"Vf Outdoor, Llc - The North Face","Hayward, A. Boe",Lighthouse Public Affairs,(510) 748-2590,2701 HARBOR BAY PARKWAY,,ALAMEDA,CA,94502,
Singh/jay,"Angelis, Chloe","Reuben, Junius & Rose, Llp",650-333-7752,150 W. Harris Ave.,,San Francisco,CA,94080,
"262 7th St, Llc","Sarjapur, Melinda A.","Reuben, Junius & Rose, Llp",4155588244,168 Welsh Street,,San Francisco,CA,94107,
1948 Pacific Avenue,"Bell, Veronica N.",Lighthouse Public Affairs,(415) 516-5163,1948 PACIFIC AVENUE,,SAN FRANCISCO,CA,94109,
Barbary Coast Collective San Francisco,"Gruwell, Chris S.",New Deal Advisers,4157930831,952 MISSION STREET,,SAN FRANCISCO,CA,94103,
Notheastern University,"Johnston, Karin",Hms Associates,617-390-6249,360 Huntington Avenue,,Boston,MA,02115,
L.f. George Properties Corporation,"Loper, Mark","Reuben, Junius & Rose, Llp",415-863-2888,"888 Brannan St., Ste. 153-155",,San Francisco,CA,94103,
J Street - 1196 Hotel Llc,"Dorsey, Matt",Lighthouse Public Affairs,(619) 376-1850,321 7TH AVENUE,,SAN DIEGO,CA,92101,
"Starship Technologies, Inc.","Overman, Jason",Lighthouse Public Affairs,(415) 364-0000,TEADUSPARGI 8,,"12618 TALLINN, ESTONIA",CA,12618,
1948 Pacific Avenue,"Jordan, K. Taylor",Lighthouse Public Affairs,(415) 516-5163,1948 PACIFIC AVENUE,,SAN FRANCISCO,CA,94109,
Pritzker/john A.,"Reuben, James","Reuben, Junius & Rose, Llp",415-694-5816,"Pier 5. Embarcadero, Ste. 102",,San Francisco,CA,94111,
Hines,"Mogi, Viva",Platinum Advisors,415-512-5600,"560 MISSION STREET, #100",,SAN FRANCISCO,CA,94105,
1948 Pacific Avenue,"Overman, Jason",Lighthouse Public Affairs,(415) 516-5163,1948 PACIFIC AVENUE,,SAN FRANCISCO,CA,94109,
Daniel Alegre,"Knight, Jody","Reuben, Junius & Rose, Llp",4155679000,2623 Divisadero Street,,San Francisco,CA,94123,
Target Corporation,"Reuben, James","Reuben, Junius & Rose, Llp",612-696-1244,1000 Nicollet Mall. TPS-3155,,Minneapolis,MN,55403,
Englewood Llc,"Loper, Mark","Reuben, Junius & Rose, Llp",301-961-1976,"3 Bethesda Metro Center., Ste. 700",,Bethesda,MD,20814,
"Starship Technologies, Inc.","Guehring, Ross E.",Lighthouse Public Affairs,(415) 364-0000,TEADUSPARGI 8,,"12618 TALLINN, ESTONIA",CA,12618,
"Vf Outdoor, Llc - The North Face","Jordan, K. Taylor",Lighthouse Public Affairs,(510) 748-2590,2701 HARBOR BAY PARKWAY,,ALAMEDA,CA,94502,
J Street - 1196 Hotel Llc,"Moriarity, Anne",Lighthouse Public Affairs,(619) 376-1850,321 7TH AVENUE,,SAN DIEGO,CA,92101,
"Soma Partners, Llc","Angelis, Chloe","Reuben, Junius & Rose, Llp",415-567-9000,"3334 East Coast Highway, Ste. 588",,Corona del Mar,CA,92625,
American Medical Response,"Piccini, Jacqueline",Platinum Advisors,303-495-1200,"6200 SOUTH SYRACUSE WAY, #200",,GREENWOOD VILLAGE,CO,80111,
Kimpton Hotels & Restaurants,"Sarjapur, Melinda A.","Reuben, Junius & Rose, Llp",415-955-5409,222 Kearny Street,,San Francisco,CA,94108,
Mill Creek Residential Trust,"Reuben, James","Reuben, Junius & Rose, Llp",650-293-3574,"411 Borel Ave., Ste. 405",,San Mateo,CA,94402,
Morgan Stanley Investment Management Inc.,"Best, Greg",Morgan Stanley Investment Management Inc.,(212) 296-6557,522 5th Avenue,,New York,NY,10036,
Rag & Bone,"Smith, Alexis",Barbary Coast Consulting,212.278.8214,425 W 13th St 3rd Floor,,New York,NY,10014,
1069-1073 Howard Llc,"Lesser, Philip",Philip Lesser,415-602-9500,1069 Howard Street,,San Francisco,CA,94103,
Car2go,"Dorsey, Matt",Lighthouse Public Affairs,(619)794-2606,633 NINTH AVENUE,,SAN JOSE,CA,92101,
Golub Real Estate,"Gruwell, Chris",Platinum Advisors,(312) 440-0809,625 NORTH MICHIGAN AVENUE,,CHICAGO,IL,60611,
Anasazi Properties,"Cassolato, Stefano",Sgc Strategic Communications,474-2072,101 Bush Street,,San Francisco,CA,94111,
Sfblu Homeowners Association,"Vancrum, Melissa",Hanson Bridgett Llp,415-995-5065,"631 Folsom Street, Unit 16A",,San Francisco,CA,94107,
San Francisco Law Library,"Hayward, Boe","Goodyear Peterson Hayward & Associates, Llc",(415) 554-6821,"401 VAN NESS AVENUE, ROOM 400",,SAN FRANCISCO,CA,94102,
Sfo Shuttle Bus,"Gruwell, Chris",Platinum Advisors,(415) 813-4344,"923 FOLSOM STREET, SUITE B",,SAN FRANCISCO,CA,94107,
Sf Spca,"Clemens, Alex",Barbary Coast Consulting,(415) 554-3000,243 Alabama Street,,San Francisco,CA,94103,
Morgans Hotel Group,"Kirk, Laura",Platinum Advisors,(415) 775-4700,495 GEARY STREET,,SAN FRANCISCO,CA,94102,
Aibi Inc.,"Silverman, David","Reuben, Junius & Rose, Llp",415-386-4747,26 25th Ave.,,San Francisco,CA,94121,
Pacific Gateway,"Gruwell, Chris",Platinum Advisors,(408) 293-7200,79 DEVINE STREET,,SAN JOSE,CA,95111,
Sf Spca,"Hayward, A. Boe",Lighthouse Public Affairs,(415) 554-3000,243 ALABAMA STREET,,SAN FRANCISCO,CA,94103,
"European Designs, Inc.","Kevlin, John","Reuben, Junius & Rose, Llp",415-748-1224,701 8th St.,,San Francisco,CA,94103,
At&t,"Potashner, Eric",Platinum Advisors,916-341-3414,"1215 K STREET, SUITE 1800",,SACRAMENTO,CA,95814,
